2D signal (scaled to L and XS), Muon channel, low edge of bin values given for x and y axes
Mass (GeV), Disc, nEvent
138.0, 0.0489, 0.0
138.0, 0.0533, 0.0
138.0, 0.0578, 0.0
138.0, 0.0622, 0.0
138.0, 0.0667, 0.0
138.0, 0.0711, 0.0
138.0, 0.0756, 0.0
138.0, 0.08, 0.0
138.0, 0.0844, 0.0
138.0, 0.0889, 0.0
138.0, 0.0933, 0.0
138.0, 0.0978, 0.0
138.0, 0.102, 0.0
138.0, 0.107, 0.0
138.0, 0.111, 0.0
138.0, 0.116, 0.0
138.0, 0.12, 0.0
138.0, 0.124, 0.0
138.0, 0.129, 0.0
138.0, 0.133, 0.0
138.0, 0.138, 0.0
138.0, 0.142, 0.0
138.0, 0.147, 0.0
138.0, 0.151, 0.0
138.0, 0.156, 0.0
138.0, 0.16, 0.0
138.0, 0.164, 0.0
138.0, 0.169, 0.0
138.0, 0.173, 0.0
138.0, 0.178, 0.0
138.0, 0.182, 0.0
138.0, 0.187, 0.0
138.0, 0.191, 0.0
138.0, 0.196, 0.0
140.0, 0.0, 0.0
140.0, 0.00444, 0.0
140.0, 0.00889, 0.0
140.0, 0.0133, 0.0
140.0, 0.0178, 0.0
140.0, 0.0222, 0.0
140.0, 0.0267, 0.0
140.0, 0.0311, 0.0
140.0, 0.0356, 0.0
140.0, 0.04, 0.0
140.0, 0.0444, 0.0
140.0, 0.0489, 0.0
140.0, 0.0533, 0.0
140.0, 0.0578, 0.0
140.0, 0.0622, 0.0
140.0, 0.0667, 0.0
140.0, 0.0711, 0.0
140.0, 0.0756, 0.0
140.0, 0.08, 0.0
140.0, 0.0844, 0.0
140.0, 0.0889, 0.0
140.0, 0.0933, 0.0
140.0, 0.0978, 0.0
140.0, 0.102, 0.0
140.0, 0.107, 0.0
140.0, 0.111, 0.0
140.0, 0.116, 0.0
140.0, 0.12, 0.0
140.0, 0.124, 0.0
140.0, 0.129, 0.0
140.0, 0.133, 0.0
140.0, 0.138, 0.0
140.0, 0.142, 0.0
140.0, 0.147, 0.0
140.0, 0.151, 0.0
140.0, 0.156, 0.0
140.0, 0.16, 0.0
140.0, 0.164, 0.0
140.0, 0.169, 0.0
140.0, 0.173, 0.0
140.0, 0.178, 0.0
140.0, 0.182, 0.0
140.0, 0.187, 0.0
140.0, 0.191, 0.0
140.0, 0.196, 0.0
142.0, 0.0, 0.000579198694301
142.0, 0.00444, 0.0
142.0, 0.00889, 0.000994823275828
142.0, 0.0133, 0.000608370719755
142.0, 0.0178, 0.0
142.0, 0.0222, 0.0
142.0, 0.0267, 0.0
142.0, 0.0311, 0.0
142.0, 0.0356, 0.0
142.0, 0.04, 0.0
142.0, 0.0444, 0.0
142.0, 0.0489, 0.0
142.0, 0.0533, 0.0
142.0, 0.0578, 0.0
142.0, 0.0622, 0.0
142.0, 0.0667, 0.0
142.0, 0.0711, 0.0
142.0, 0.0756, 0.0
142.0, 0.08, 0.0
142.0, 0.0844, 0.0
142.0, 0.0889, 0.0
142.0, 0.0933, 0.0
142.0, 0.0978, 0.0
142.0, 0.102, 0.0
142.0, 0.107, 0.0
142.0, 0.111, 0.0
142.0, 0.116, 0.0
142.0, 0.12, 0.0
142.0, 0.124, 0.0
142.0, 0.129, 0.0
142.0, 0.133, 0.0
142.0, 0.138, 0.0
142.0, 0.142, 0.0
142.0, 0.147, 0.0
142.0, 0.151, 0.0
142.0, 0.156, 0.0
142.0, 0.16, 0.0
142.0, 0.164, 0.0
142.0, 0.169, 0.0
142.0, 0.173, 0.0
142.0, 0.178, 0.0
142.0, 0.182, 0.0
142.0, 0.187, 0.0
142.0, 0.191, 0.0
142.0, 0.196, 0.0
144.0, 0.0, 0.0
144.0, 0.00444, 0.0
144.0, 0.00889, 0.000747559154212
144.0, 0.0133, 0.00054577814503
144.0, 0.0178, 0.0
144.0, 0.0222, 0.0
144.0, 0.0267, 0.0
144.0, 0.0311, 0.0
144.0, 0.0356, 0.0
144.0, 0.04, 0.0
144.0, 0.0444, 0.0
144.0, 0.0489, 0.0
144.0, 0.0533, 0.0
144.0, 0.0578, 0.0
144.0, 0.0622, 0.0
144.0, 0.0667, 0.0
144.0, 0.0711, 0.0
144.0, 0.0756, 0.0
144.0, 0.08, 0.0
144.0, 0.0844, 0.0
144.0, 0.0889, 0.000601156127471
144.0, 0.0933, 0.0
144.0, 0.0978, 0.0
144.0, 0.102, 0.0
144.0, 0.107, 0.0
144.0, 0.111, 0.0
144.0, 0.116, 0.0
144.0, 0.12, 0.0
144.0, 0.124, 0.0
144.0, 0.129, 0.0
144.0, 0.133, 0.0
144.0, 0.138, 0.0
144.0, 0.142, 0.0
144.0, 0.147, 0.0
144.0, 0.151, 0.0
144.0, 0.156, 0.0
144.0, 0.16, 0.0
144.0, 0.164, 0.0
144.0, 0.169, 0.0
144.0, 0.173, 0.0
144.0, 0.178, 0.0
144.0, 0.182, 0.0
144.0, 0.187, 0.0
144.0, 0.191, 0.0
144.0, 0.196, 0.0
146.0, 0.0, 0.00119524128573
146.0, 0.00444, 0.0
146.0, 0.00889, 0.0
146.0, 0.0133, 0.0
146.0, 0.0178, 0.0
146.0, 0.0222, 0.0
146.0, 0.0267, 0.00085956449073
146.0, 0.0311, 0.0
146.0, 0.0356, 0.0
146.0, 0.04, 0.0
146.0, 0.0444, 0.0
146.0, 0.0489, 0.0
146.0, 0.0533, 0.0
146.0, 0.0578, 0.0
146.0, 0.0622, 0.0
146.0, 0.0667, 0.0
146.0, 0.0711, 0.0
146.0, 0.0756, 0.0
146.0, 0.08, 0.0
146.0, 0.0844, 0.0
146.0, 0.0889, 0.0
146.0, 0.0933, 0.0
146.0, 0.0978, 0.0
146.0, 0.102, 0.0
146.0, 0.107, 0.0
146.0, 0.111, 0.0
146.0, 0.116, 0.0
146.0, 0.12, 0.0
146.0, 0.124, 0.0
146.0, 0.129, 0.0
146.0, 0.133, 0.0
146.0, 0.138, 0.0
146.0, 0.142, 0.0
146.0, 0.147, 0.0
146.0, 0.151, 0.0
146.0, 0.156, 0.0
146.0, 0.16, 0.0
146.0, 0.164, 0.0
146.0, 0.169, 0.0
146.0, 0.173, 0.0
146.0, 0.178, 0.0
146.0, 0.182, 0.0
146.0, 0.187, 0.0
146.0, 0.191, 0.0
146.0, 0.196, 0.0
148.0, 0.0, 0.000744987782961
148.0, 0.00444, 0.0
148.0, 0.00889, 0.0
148.0, 0.0133, 0.0
148.0, 0.0178, 0.0
148.0, 0.0222, 0.0
148.0, 0.0267, 0.0
148.0, 0.0311, 0.0
148.0, 0.0356, 0.0
148.0, 0.04, 0.0
148.0, 0.0444, 0.0
148.0, 0.0489, 0.0
148.0, 0.0533, 0.0
148.0, 0.0578, 0.0
148.0, 0.0622, 0.0
148.0, 0.0667, 0.0
148.0, 0.0711, 0.0
148.0, 0.0756, 0.0
148.0, 0.08, 0.0
148.0, 0.0844, 0.0
148.0, 0.0889, 0.0
148.0, 0.0933, 0.0
148.0, 0.0978, 0.0
148.0, 0.102, 0.0
148.0, 0.107, 0.0
148.0, 0.111, 0.0
148.0, 0.116, 0.0
148.0, 0.12, 0.0
148.0, 0.124, 0.0
148.0, 0.129, 0.0
148.0, 0.133, 0.0
148.0, 0.138, 0.0
148.0, 0.142, 0.0
148.0, 0.147, 0.0
148.0, 0.151, 0.0
148.0, 0.156, 0.0
148.0, 0.16, 0.0
148.0, 0.164, 0.0
148.0, 0.169, 0.0
148.0, 0.173, 0.0
148.0, 0.178, 0.0
148.0, 0.182, 0.0
148.0, 0.187, 0.0
148.0, 0.191, 0.0
148.0, 0.196, 0.0
150.0, 0.0, 0.000727575029635
150.0, 0.00444, 0.0
150.0, 0.00889, 0.000622867846626
150.0, 0.0133, 0.0
150.0, 0.0178, 0.0
150.0, 0.0222, 0.0
150.0, 0.0267, 0.0
150.0, 0.0311, 0.0
150.0, 0.0356, 0.0
150.0, 0.04, 0.0
150.0, 0.0444, 0.0
150.0, 0.0489, 0.0
150.0, 0.0533, 0.0
150.0, 0.0578, 0.0
150.0, 0.0622, 0.0
150.0, 0.0667, 0.0
150.0, 0.0711, 0.0
150.0, 0.0756, 0.0
150.0, 0.08, 0.0
150.0, 0.0844, 0.0
150.0, 0.0889, 0.0
150.0, 0.0933, 0.0
150.0, 0.0978, 0.0
150.0, 0.102, 0.0
150.0, 0.107, 0.0
150.0, 0.111, 0.0
150.0, 0.116, 0.0
150.0, 0.12, 0.0
150.0, 0.124, 0.0
150.0, 0.129, 0.0
150.0, 0.133, 0.0
150.0, 0.138, 0.0
150.0, 0.142, 0.0
150.0, 0.147, 0.0
150.0, 0.151, 0.0
150.0, 0.156, 0.0
150.0, 0.16, 0.0
150.0, 0.164, 0.0
150.0, 0.169, 0.0
150.0, 0.173, 0.0
150.0, 0.178, 0.0
150.0, 0.182, 0.0
150.0, 0.187, 0.0
150.0, 0.191, 0.0
150.0, 0.196, 0.0
152.0, 0.0, 0.000629359211904
152.0, 0.00444, 0.000179912515114
152.0, 0.00889, 0.0
152.0, 0.0133, 0.0
152.0, 0.0178, 0.0
152.0, 0.0222, 0.0
152.0, 0.0267, 0.0
152.0, 0.0311, 0.0
152.0, 0.0356, 0.0
152.0, 0.04, 0.0
152.0, 0.0444, 0.0
152.0, 0.0489, 0.0
152.0, 0.0533, 0.0
152.0, 0.0578, 0.0
152.0, 0.0622, 0.0
152.0, 0.0667, 0.0
152.0, 0.0711, 0.0
152.0, 0.0756, 0.0
152.0, 0.08, 0.0
152.0, 0.0844, 0.0
152.0, 0.0889, 0.0
152.0, 0.0933, 0.0
152.0, 0.0978, 0.0
152.0, 0.102, 0.0
152.0, 0.107, 0.0
152.0, 0.111, 0.0
152.0, 0.116, 0.0
152.0, 0.12, 0.0
152.0, 0.124, 0.0
152.0, 0.129, 0.0
152.0, 0.133, 0.0
152.0, 0.138, 0.0
152.0, 0.142, 0.0
152.0, 0.147, 0.0
152.0, 0.151, 0.0
152.0, 0.156, 0.0
152.0, 0.16, 0.0
152.0, 0.164, 0.0
152.0, 0.169, 0.0
152.0, 0.173, 0.0
152.0, 0.178, 0.0
152.0, 0.182, 0.0
152.0, 0.187, 0.0
152.0, 0.191, 0.0
152.0, 0.196, 0.0
154.0, 0.0, 0.0
154.0, 0.00444, 0.0
154.0, 0.00889, 0.0
154.0, 0.0133, 0.0
154.0, 0.0178, 0.0
154.0, 0.0222, 0.0
154.0, 0.0267, 0.0
154.0, 0.0311, 0.0
154.0, 0.0356, 0.0
154.0, 0.04, 0.0
154.0, 0.0444, 0.0
154.0, 0.0489, 0.0
154.0, 0.0533, 0.0
154.0, 0.0578, 0.0
154.0, 0.0622, 0.0
154.0, 0.0667, 0.0
154.0, 0.0711, 0.0
154.0, 0.0756, 0.0
154.0, 0.08, 0.0
154.0, 0.0844, 0.0
154.0, 0.0889, 0.0
154.0, 0.0933, 0.0
154.0, 0.0978, 0.0
154.0, 0.102, 0.0
154.0, 0.107, 0.0
154.0, 0.111, 0.0
154.0, 0.116, 0.0
154.0, 0.12, 0.0
154.0, 0.124, 0.0
154.0, 0.129, 0.0
154.0, 0.133, 0.0
154.0, 0.138, 0.0
154.0, 0.142, 0.0
154.0, 0.147, 0.0
154.0, 0.151, 0.0
154.0, 0.156, 0.0
154.0, 0.16, 0.0
154.0, 0.164, 0.0
154.0, 0.169, 0.0
154.0, 0.173, 0.0
154.0, 0.178, 0.0
154.0, 0.182, 0.0
154.0, 0.187, 0.0
154.0, 0.191, 0.0
154.0, 0.196, 0.0
156.0, 0.0, 0.000635830769551
156.0, 0.00444, 0.0
156.0, 0.00889, 0.0
156.0, 0.0133, 0.0
156.0, 0.0178, 0.0
156.0, 0.0222, 0.0
156.0, 0.0267, 0.0
156.0, 0.0311, 0.0
156.0, 0.0356, 0.0
156.0, 0.04, 0.0
156.0, 0.0444, 0.0
156.0, 0.0489, 0.0
156.0, 0.0533, 0.0
156.0, 0.0578, 0.0
156.0, 0.0622, 0.0
156.0, 0.0667, 0.0
156.0, 0.0711, 0.0
156.0, 0.0756, 0.0
156.0, 0.08, 0.0
156.0, 0.0844, 0.0
156.0, 0.0889, 0.0
156.0, 0.0933, 0.0
156.0, 0.0978, 0.0
156.0, 0.102, 0.0
156.0, 0.107, 0.0
156.0, 0.111, 0.0
156.0, 0.116, 0.0
156.0, 0.12, 0.0
156.0, 0.124, 0.0
156.0, 0.129, 0.0
156.0, 0.133, 0.0
156.0, 0.138, 0.0
156.0, 0.142, 0.0
156.0, 0.147, 0.0
156.0, 0.151, 0.0
156.0, 0.156, 0.0
156.0, 0.16, 0.0
156.0, 0.164, 0.0
156.0, 0.169, 0.0
156.0, 0.173, 0.0
156.0, 0.178, 0.0
156.0, 0.182, 0.0
156.0, 0.187, 0.0
156.0, 0.191, 0.0
156.0, 0.196, 0.0
158.0, 0.0, 0.0
158.0, 0.00444, 0.000538173612201
158.0, 0.00889, 0.000582024689451
158.0, 0.0133, 0.0
158.0, 0.0178, 0.0
158.0, 0.0222, 0.0
158.0, 0.0267, 0.0
158.0, 0.0311, 0.0
158.0, 0.0356, 0.0
158.0, 0.04, 0.0
158.0, 0.0444, 0.0
158.0, 0.0489, 0.0
158.0, 0.0533, 0.0
158.0, 0.0578, 0.0
158.0, 0.0622, 0.0
158.0, 0.0667, 0.0
158.0, 0.0711, 0.0
158.0, 0.0756, 0.0
158.0, 0.08, 0.0
158.0, 0.0844, 0.0
158.0, 0.0889, 0.0
158.0, 0.0933, 0.0
158.0, 0.0978, 0.0
158.0, 0.102, 0.0
158.0, 0.107, 0.0
158.0, 0.111, 0.0
158.0, 0.116, 0.0
158.0, 0.12, 0.0
158.0, 0.124, 0.0
158.0, 0.129, 0.0
158.0, 0.133, 0.0
158.0, 0.138, 0.0
158.0, 0.142, 0.0
158.0, 0.147, 0.0
158.0, 0.151, 0.0
158.0, 0.156, 0.0
158.0, 0.16, 0.0
158.0, 0.164, 0.0
158.0, 0.169, 0.0
158.0, 0.173, 0.0
158.0, 0.178, 0.0
158.0, 0.182, 0.0
158.0, 0.187, 0.0
158.0, 0.191, 0.0
158.0, 0.196, 0.0
160.0, 0.0, 0.0
160.0, 0.00444, 0.0
160.0, 0.00889, 0.0
160.0, 0.0133, 0.0
160.0, 0.0178, 0.0
160.0, 0.0222, 0.0
160.0, 0.0267, 0.0
160.0, 0.0311, 0.0
160.0, 0.0356, 0.0
160.0, 0.04, 0.0
160.0, 0.0444, 0.0
160.0, 0.0489, 0.0
160.0, 0.0533, 0.0
160.0, 0.0578, 0.0
160.0, 0.0622, 0.0
160.0, 0.0667, 0.0
160.0, 0.0711, 0.0
160.0, 0.0756, 0.0
160.0, 0.08, 0.0
160.0, 0.0844, 0.0
160.0, 0.0889, 0.0
160.0, 0.0933, 0.0
160.0, 0.0978, 0.0
160.0, 0.102, 0.0
160.0, 0.107, 0.0
160.0, 0.111, 0.0
160.0, 0.116, 0.0
160.0, 0.12, 0.0
160.0, 0.124, 0.0
160.0, 0.129, 0.0
160.0, 0.133, 0.0
160.0, 0.138, 0.0
160.0, 0.142, 0.0
160.0, 0.147, 0.0
160.0, 0.151, 0.0
160.0, 0.156, 0.0
160.0, 0.16, 0.0
160.0, 0.164, 0.0
160.0, 0.169, 0.0
160.0, 0.173, 0.0
160.0, 0.178, 0.0
160.0, 0.182, 0.0
160.0, 0.187, 0.0
160.0, 0.191, 0.0
160.0, 0.196, 0.0
162.0, 0.0, 0.000310665578926
162.0, 0.00444, 0.0
162.0, 0.00889, 0.0
162.0, 0.0133, 0.0
162.0, 0.0178, 0.0
162.0, 0.0222, 0.0
162.0, 0.0267, 0.0
162.0, 0.0311, 0.0
162.0, 0.0356, 0.0
162.0, 0.04, 0.0
162.0, 0.0444, 0.0
162.0, 0.0489, 0.0
162.0, 0.0533, 0.0
162.0, 0.0578, 0.0
162.0, 0.0622, 0.0
162.0, 0.0667, 0.0
162.0, 0.0711, 0.0
162.0, 0.0756, 0.0
162.0, 0.08, 0.0
162.0, 0.0844, 0.0
162.0, 0.0889, 0.0
162.0, 0.0933, 0.0
162.0, 0.0978, 0.0
162.0, 0.102, 0.0
162.0, 0.107, 0.0
162.0, 0.111, 0.0
162.0, 0.116, 0.0
162.0, 0.12, 0.0
162.0, 0.124, 0.0
162.0, 0.129, 0.0
162.0, 0.133, 0.0
162.0, 0.138, 0.0
162.0, 0.142, 0.0
162.0, 0.147, 0.0
162.0, 0.151, 0.0
162.0, 0.156, 0.0
162.0, 0.16, 0.0
162.0, 0.164, 0.0
162.0, 0.169, 0.0
162.0, 0.173, 0.0
162.0, 0.178, 0.0
162.0, 0.182, 0.0
162.0, 0.187, 0.0
162.0, 0.191, 0.0
162.0, 0.196, 0.0
164.0, 0.0, 0.0
164.0, 0.00444, 0.0
164.0, 0.00889, 0.0
164.0, 0.0133, 0.0
164.0, 0.0178, 0.0
164.0, 0.0222, 0.0
164.0, 0.0267, 0.0
164.0, 0.0311, 0.0
164.0, 0.0356, 0.0
164.0, 0.04, 0.0
164.0, 0.0444, 0.0
164.0, 0.0489, 0.0
164.0, 0.0533, 0.0
164.0, 0.0578, 0.0
164.0, 0.0622, 0.0
164.0, 0.0667, 0.0
164.0, 0.0711, 0.0
164.0, 0.0756, 0.0
164.0, 0.08, 0.0
164.0, 0.0844, 0.0
164.0, 0.0889, 0.0
164.0, 0.0933, 0.0
164.0, 0.0978, 0.0
164.0, 0.102, 0.0
164.0, 0.107, 0.0
164.0, 0.111, 0.0
164.0, 0.116, 0.0
164.0, 0.12, 0.0
164.0, 0.124, 0.0
164.0, 0.129, 0.0
164.0, 0.133, 0.0
164.0, 0.138, 0.0
164.0, 0.142, 0.0
164.0, 0.147, 0.0
164.0, 0.151, 0.0
164.0, 0.156, 0.0
164.0, 0.16, 0.0
164.0, 0.164, 0.0
164.0, 0.169, 0.0
164.0, 0.173, 0.0
164.0, 0.178, 0.0
164.0, 0.182, 0.0
164.0, 0.187, 0.0
164.0, 0.191, 0.0
164.0, 0.196, 0.0
166.0, 0.0, 0.0
166.0, 0.00444, 0.0
166.0, 0.00889, 0.0
166.0, 0.0133, 0.0
166.0, 0.0178, 0.0
166.0, 0.0222, 0.0
166.0, 0.0267, 0.0
166.0, 0.0311, 0.0
166.0, 0.0356, 0.0
166.0, 0.04, 0.0
166.0, 0.0444, 0.0
166.0, 0.0489, 0.0
166.0, 0.0533, 0.0
166.0, 0.0578, 0.0
166.0, 0.0622, 0.0
166.0, 0.0667, 0.0
166.0, 0.0711, 0.0
166.0, 0.0756, 0.0
166.0, 0.08, 0.0
166.0, 0.0844, 0.0
166.0, 0.0889, 0.0
166.0, 0.0933, 0.0
166.0, 0.0978, 0.0
166.0, 0.102, 0.0
166.0, 0.107, 0.0
166.0, 0.111, 0.0
166.0, 0.116, 0.0
166.0, 0.12, 0.0
166.0, 0.124, 0.0
166.0, 0.129, 0.0
166.0, 0.133, 0.0
166.0, 0.138, 0.0
166.0, 0.142, 0.0
166.0, 0.147, 0.0
166.0, 0.151, 0.0
166.0, 0.156, 0.0
166.0, 0.16, 0.0
166.0, 0.164, 0.0
166.0, 0.169, 0.0
166.0, 0.173, 0.0
166.0, 0.178, 0.0
166.0, 0.182, 0.0
166.0, 0.187, 0.0
166.0, 0.191, 0.0
166.0, 0.196, 0.0
168.0, 0.0, 0.0
168.0, 0.00444, 0.0
168.0, 0.00889, 0.0
168.0, 0.0133, 0.0
168.0, 0.0178, 0.0
168.0, 0.0222, 0.0
168.0, 0.0267, 0.0
168.0, 0.0311, 0.0
168.0, 0.0356, 0.0
168.0, 0.04, 0.0
168.0, 0.0444, 0.0
168.0, 0.0489, 0.0
168.0, 0.0533, 0.0
168.0, 0.0578, 0.0
168.0, 0.0622, 0.0
168.0, 0.0667, 0.0
168.0, 0.0711, 0.0
168.0, 0.0756, 0.0
168.0, 0.08, 0.0
168.0, 0.0844, 0.0
168.0, 0.0889, 0.0
168.0, 0.0933, 0.0
168.0, 0.0978, 0.0
168.0, 0.102, 0.0
168.0, 0.107, 0.0
168.0, 0.111, 0.0
168.0, 0.116, 0.0
168.0, 0.12, 0.0
168.0, 0.124, 0.0
168.0, 0.129, 0.0
168.0, 0.133, 0.0
168.0, 0.138, 0.0
168.0, 0.142, 0.0
168.0, 0.147, 0.0
168.0, 0.151, 0.0
168.0, 0.156, 0.0
168.0, 0.16, 0.0
168.0, 0.164, 0.0
168.0, 0.169, 0.0
168.0, 0.173, 0.0
168.0, 0.178, 0.0
168.0, 0.182, 0.0
168.0, 0.187, 0.0
168.0, 0.191, 0.0
168.0, 0.196, 0.0
170.0, 0.0, 0.0
170.0, 0.00444, 0.0
170.0, 0.00889, 0.0
170.0, 0.0133, 0.0
170.0, 0.0178, 0.0
170.0, 0.0222, 0.0
170.0, 0.0267, 0.0
170.0, 0.0311, 0.0
170.0, 0.0356, 0.0
170.0, 0.04, 0.0
170.0, 0.0444, 0.0
170.0, 0.0489, 0.0
170.0, 0.0533, 0.0
170.0, 0.0578, 0.0
170.0, 0.0622, 0.0
170.0, 0.0667, 0.0
170.0, 0.0711, 0.0
170.0, 0.0756, 0.0
170.0, 0.08, 0.0
170.0, 0.0844, 0.0
170.0, 0.0889, 0.0
170.0, 0.0933, 0.0
170.0, 0.0978, 0.0
170.0, 0.102, 0.0
170.0, 0.107, 0.0
170.0, 0.111, 0.0
170.0, 0.116, 0.0
170.0, 0.12, 0.0
170.0, 0.124, 0.0
170.0, 0.129, 0.0
170.0, 0.133, 0.0
170.0, 0.138, 0.0
170.0, 0.142, 0.0
170.0, 0.147, 0.0
170.0, 0.151, 0.0
170.0, 0.156, 0.0
170.0, 0.16, 0.0
170.0, 0.164, 0.0
170.0, 0.169, 0.0
170.0, 0.173, 0.0
170.0, 0.178, 0.0
170.0, 0.182, 0.0
170.0, 0.187, 0.0
170.0, 0.191, 0.0
170.0, 0.196, 0.0
172.0, 0.0, 0.0
172.0, 0.00444, 0.0
172.0, 0.00889, 0.0
172.0, 0.0133, 0.0
172.0, 0.0178, 0.0
172.0, 0.0222, 0.0
172.0, 0.0267, 0.0
172.0, 0.0311, 0.0
172.0, 0.0356, 0.0
172.0, 0.04, 0.0
172.0, 0.0444, 0.0
172.0, 0.0489, 0.0
172.0, 0.0533, 0.0
172.0, 0.0578, 0.0
172.0, 0.0622, 0.0
172.0, 0.0667, 0.0
172.0, 0.0711, 0.0
172.0, 0.0756, 0.0
172.0, 0.08, 0.0
172.0, 0.0844, 0.0
172.0, 0.0889, 0.0
172.0, 0.0933, 0.0
172.0, 0.0978, 0.0
172.0, 0.102, 0.0
172.0, 0.107, 0.0
172.0, 0.111, 0.0
172.0, 0.116, 0.0
172.0, 0.12, 0.0
172.0, 0.124, 0.0
172.0, 0.129, 0.0
172.0, 0.133, 0.0
172.0, 0.138, 0.0
172.0, 0.142, 0.0
172.0, 0.147, 0.0
172.0, 0.151, 0.0
172.0, 0.156, 0.0
172.0, 0.16, 0.0
172.0, 0.164, 0.0
172.0, 0.169, 0.0
172.0, 0.173, 0.0
172.0, 0.178, 0.0
172.0, 0.182, 0.0
172.0, 0.187, 0.0
172.0, 0.191, 0.0
172.0, 0.196, 0.0
174.0, 0.0, 0.0
174.0, 0.00444, 0.0
174.0, 0.00889, 0.0
174.0, 0.0133, 0.0
174.0, 0.0178, 0.0
174.0, 0.0222, 0.0
174.0, 0.0267, 0.0
174.0, 0.0311, 0.0
174.0, 0.0356, 0.0
174.0, 0.04, 0.0
174.0, 0.0444, 0.0
174.0, 0.0489, 0.0
174.0, 0.0533, 0.0
174.0, 0.0578, 0.0
174.0, 0.0622, 0.0
174.0, 0.0667, 0.0
174.0, 0.0711, 0.0
174.0, 0.0756, 0.0
174.0, 0.08, 0.0
174.0, 0.0844, 0.0
174.0, 0.0889, 0.0
174.0, 0.0933, 0.0
174.0, 0.0978, 0.0
174.0, 0.102, 0.0
174.0, 0.107, 0.0
174.0, 0.111, 0.0
174.0, 0.116, 0.0
174.0, 0.12, 0.0
174.0, 0.124, 0.0
174.0, 0.129, 0.0
174.0, 0.133, 0.0
174.0, 0.138, 0.0
174.0, 0.142, 0.0
174.0, 0.147, 0.0
174.0, 0.151, 0.0
174.0, 0.156, 0.0
174.0, 0.16, 0.0
174.0, 0.164, 0.0
174.0, 0.169, 0.0
174.0, 0.173, 0.0
174.0, 0.178, 0.0
174.0, 0.182, 0.0
174.0, 0.187, 0.0
174.0, 0.191, 0.0
174.0, 0.196, 0.0
176.0, 0.0, 0.000116146835232
176.0, 0.00444, 0.0
176.0, 0.00889, 0.0
176.0, 0.0133, 0.0
176.0, 0.0178, 0.0
176.0, 0.0222, 0.0
176.0, 0.0267, 0.0
176.0, 0.0311, 0.0
176.0, 0.0356, 0.0
176.0, 0.04, 0.0
176.0, 0.0444, 0.0
176.0, 0.0489, 0.0
176.0, 0.0533, 0.0
176.0, 0.0578, 0.0
176.0, 0.0622, 0.0
176.0, 0.0667, 0.0
176.0, 0.0711, 0.0
176.0, 0.0756, 0.0
176.0, 0.08, 0.0
176.0, 0.0844, 0.0
176.0, 0.0889, 0.0
176.0, 0.0933, 0.0
176.0, 0.0978, 0.0
176.0, 0.102, 0.0
176.0, 0.107, 0.0
176.0, 0.111, 0.0
176.0, 0.116, 0.0
176.0, 0.12, 0.0
176.0, 0.124, 0.0
176.0, 0.129, 0.0
176.0, 0.133, 0.0
176.0, 0.138, 0.0
176.0, 0.142, 0.0
176.0, 0.147, 0.0
176.0, 0.151, 0.0
176.0, 0.156, 0.0
176.0, 0.16, 0.0
176.0, 0.164, 0.0
176.0, 0.169, 0.0
176.0, 0.173, 0.0
176.0, 0.178, 0.0
176.0, 0.182, 0.0
176.0, 0.187, 0.0
176.0, 0.191, 0.0
176.0, 0.196, 0.0
178.0, 0.0, 0.0
178.0, 0.00444, 0.0
178.0, 0.00889, 0.0
178.0, 0.0133, 0.0
178.0, 0.0178, 0.0
178.0, 0.0222, 0.0
178.0, 0.0267, 0.0
178.0, 0.0311, 0.0
178.0, 0.0356, 0.0
178.0, 0.04, 0.0
178.0, 0.0444, 0.0
178.0, 0.0489, 0.0
178.0, 0.0533, 0.0
178.0, 0.0578, 0.0
178.0, 0.0622, 0.0
178.0, 0.0667, 0.0
178.0, 0.0711, 0.0
178.0, 0.0756, 0.0
178.0, 0.08, 0.0
178.0, 0.0844, 0.0
178.0, 0.0889, 0.0
178.0, 0.0933, 0.0
178.0, 0.0978, 0.0
178.0, 0.102, 0.0
178.0, 0.107, 0.0
178.0, 0.111, 0.0
178.0, 0.116, 0.0
178.0, 0.12, 0.0
178.0, 0.124, 0.0
178.0, 0.129, 0.0
178.0, 0.133, 0.0
178.0, 0.138, 0.0
178.0, 0.142, 0.0
178.0, 0.147, 0.0
178.0, 0.151, 0.0
178.0, 0.156, 0.0
178.0, 0.16, 0.0
178.0, 0.164, 0.0
178.0, 0.169, 0.0
178.0, 0.173, 0.0
178.0, 0.178, 0.0
178.0, 0.182, 0.0
178.0, 0.187, 0.0
178.0, 0.191, 0.0
178.0, 0.196, 0.0
180.0, 0.0, 0.000122922757714
180.0, 0.00444, 0.0
180.0, 0.00889, 0.0
180.0, 0.0133, 0.0
180.0, 0.0178, 0.0
180.0, 0.0222, 0.0
180.0, 0.0267, 0.0
180.0, 0.0311, 0.0
180.0, 0.0356, 0.0
180.0, 0.04, 0.0
180.0, 0.0444, 0.0
180.0, 0.0489, 0.0
180.0, 0.0533, 0.0
180.0, 0.0578, 0.0
180.0, 0.0622, 0.0
180.0, 0.0667, 0.0
180.0, 0.0711, 0.0
180.0, 0.0756, 0.0
180.0, 0.08, 0.0
180.0, 0.0844, 0.0
180.0, 0.0889, 0.0
180.0, 0.0933, 0.0
180.0, 0.0978, 0.0
180.0, 0.102, 0.0
180.0, 0.107, 0.0
180.0, 0.111, 0.0
