2D signal (scaled to L and XS), Muon channel, low edge of bin values given for x and y axes
Mass (GeV), Disc, nEvent
108.0, 0.0311, 0.0
108.0, 0.0356, 0.0
108.0, 0.04, 0.0
108.0, 0.0444, 0.0
108.0, 0.0489, 0.0
108.0, 0.0533, 0.0
108.0, 0.0578, 0.0
108.0, 0.0622, 0.0
108.0, 0.0667, 0.0
108.0, 0.0711, 0.0
108.0, 0.0756, 0.0
108.0, 0.08, 0.0
108.0, 0.0844, 0.0
108.0, 0.0889, 0.0
108.0, 0.0933, 0.0
108.0, 0.0978, 0.0
108.0, 0.102, 0.0
108.0, 0.107, 0.0
108.0, 0.111, 0.0
108.0, 0.116, 0.0
108.0, 0.12, 0.0
108.0, 0.124, 0.0
108.0, 0.129, 0.0
108.0, 0.133, 0.0
108.0, 0.138, 0.0
108.0, 0.142, 0.0
108.0, 0.147, 0.0
108.0, 0.151, 0.0
108.0, 0.156, 0.0
108.0, 0.16, 0.0
108.0, 0.164, 0.0
108.0, 0.169, 0.0
108.0, 0.173, 0.0
108.0, 0.178, 0.0
108.0, 0.182, 0.0
108.0, 0.187, 0.0
108.0, 0.191, 0.0
108.0, 0.196, 0.0
110.0, 0.0, 0.000611085288107
110.0, 0.00444, 0.000600291123265
110.0, 0.00889, 0.00100500595994
110.0, 0.0133, 0.00224995673145
110.0, 0.0178, 0.00380089180748
110.0, 0.0222, 0.00400430865009
110.0, 0.0267, 0.0
110.0, 0.0311, 0.00173703408575
110.0, 0.0356, 0.0
110.0, 0.04, 0.0
110.0, 0.0444, 0.0
110.0, 0.0489, 0.0
110.0, 0.0533, 0.0
110.0, 0.0578, 0.0
110.0, 0.0622, 0.0
110.0, 0.0667, 0.0
110.0, 0.0711, 0.0
110.0, 0.0756, 0.0
110.0, 0.08, 0.0
110.0, 0.0844, 0.0
110.0, 0.0889, 0.0
110.0, 0.0933, 0.0
110.0, 0.0978, 0.0
110.0, 0.102, 0.0
110.0, 0.107, 0.0
110.0, 0.111, 0.0
110.0, 0.116, 0.0
110.0, 0.12, 0.0
110.0, 0.124, 0.0
110.0, 0.129, 0.0
110.0, 0.133, 0.0
110.0, 0.138, 0.0
110.0, 0.142, 0.0
110.0, 0.147, 0.0
110.0, 0.151, 0.0
110.0, 0.156, 0.0
110.0, 0.16, 0.0
110.0, 0.164, 0.0
110.0, 0.169, 0.0
110.0, 0.173, 0.0
110.0, 0.178, 0.0
110.0, 0.182, 0.0
110.0, 0.187, 0.0
110.0, 0.191, 0.0
110.0, 0.196, 0.0
112.0, 0.0, 0.00163781901209
112.0, 0.00444, 0.00282693682911
112.0, 0.00889, 0.000998055824375
112.0, 0.0133, 0.00228031465893
112.0, 0.0178, 0.00512021093221
112.0, 0.0222, 0.0058303560987
112.0, 0.0267, 0.00816477412968
112.0, 0.0311, 0.00495972397003
112.0, 0.0356, 0.0031768182512
112.0, 0.04, 3.29175423851e-05
112.0, 0.0444, 0.0
112.0, 0.0489, 0.0
112.0, 0.0533, 0.0
112.0, 0.0578, 0.0
112.0, 0.0622, 0.0
112.0, 0.0667, 0.0
112.0, 0.0711, 0.0
112.0, 0.0756, 0.0
112.0, 0.08, 0.0
112.0, 0.0844, 0.0
112.0, 0.0889, 0.0
112.0, 0.0933, 0.0
112.0, 0.0978, 0.0
112.0, 0.102, 0.0
112.0, 0.107, 0.0
112.0, 0.111, 0.0
112.0, 0.116, 0.0
112.0, 0.12, 0.0
112.0, 0.124, 0.0
112.0, 0.129, 0.0
112.0, 0.133, 0.0
112.0, 0.138, 0.0
112.0, 0.142, 0.0
112.0, 0.147, 0.0
112.0, 0.151, 0.0
112.0, 0.156, 0.0
112.0, 0.16, 0.0
112.0, 0.164, 0.0
112.0, 0.169, 0.0
112.0, 0.173, 0.0
112.0, 0.178, 0.0
112.0, 0.182, 0.0
112.0, 0.187, 0.0
112.0, 0.191, 0.0
112.0, 0.196, 0.0
114.0, 0.0, 0.00125391063615
114.0, 0.00444, 0.000534003573459
114.0, 0.00889, 0.00469430313752
114.0, 0.0133, 0.00601572996454
114.0, 0.0178, 0.0056897983109
114.0, 0.0222, 0.00396399877255
114.0, 0.0267, 0.0043256838387
114.0, 0.0311, 0.0052129981102
114.0, 0.0356, 0.00456034136176
114.0, 0.04, 0.00764774243002
114.0, 0.0444, 0.00732492604103
114.0, 0.0489, 0.00586864914765
114.0, 0.0533, 0.000529415977082
114.0, 0.0578, 0.0
114.0, 0.0622, 0.0
114.0, 0.0667, 0.0
114.0, 0.0711, 0.0
114.0, 0.0756, 0.0
114.0, 0.08, 0.0
114.0, 0.0844, 0.0
114.0, 0.0889, 0.0
114.0, 0.0933, 0.0
114.0, 0.0978, 0.0
114.0, 0.102, 0.0
114.0, 0.107, 0.0
114.0, 0.111, 0.0
114.0, 0.116, 0.0
114.0, 0.12, 0.0
114.0, 0.124, 0.0
114.0, 0.129, 0.0
114.0, 0.133, 0.0
114.0, 0.138, 0.0
114.0, 0.142, 0.0
114.0, 0.147, 0.0
114.0, 0.151, 0.0
114.0, 0.156, 0.0
114.0, 0.16, 0.0
114.0, 0.164, 0.0
114.0, 0.169, 0.0
114.0, 0.173, 0.0
114.0, 0.178, 0.0
114.0, 0.182, 0.0
114.0, 0.187, 0.0
114.0, 0.191, 0.0
114.0, 0.196, 0.0
116.0, 0.0, 0.00172413683329
116.0, 0.00444, 0.00377538667855
116.0, 0.00889, 0.00452183277171
116.0, 0.0133, 0.00236630192697
116.0, 0.0178, 0.00641680566378
116.0, 0.0222, 0.00171189017985
116.0, 0.0267, 0.00615910483761
116.0, 0.0311, 0.00819296826873
116.0, 0.0356, 0.00707999070044
116.0, 0.04, 0.0136316154767
116.0, 0.0444, 0.0090385084599
116.0, 0.0489, 0.0144789947248
116.0, 0.0533, 0.00926982069421
116.0, 0.0578, 0.0121486120548
116.0, 0.0622, 0.00638694058423
116.0, 0.0667, 0.00230494711618
116.0, 0.0711, 0.00112725042167
116.0, 0.0756, 0.0
116.0, 0.08, 0.0
116.0, 0.0844, 0.0
116.0, 0.0889, 0.0
