--- ==================================================================================================
--- Cuts                          Classifier   (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg
--- --------------------------------------------------------------------------------------------------
--- l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5904    0.0548019  5.982512  11911.27   0.9971   0.9926
--- GEta_l2Eta       BDTG:  (        6,    12000)      -0.6106    0.0550846    5.9177  11535.15   0.9863   0.9613
--- threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)      -0.5732     0.056068  5.666396  10208.07   0.9444   0.8507
--- comPhi_l2Eta       BDTG:  (        6,    12000)      -0.6901    0.0547611         6   11998.9        1   0.9999
--- bigTheta_l2Eta       BDTG:  (        6,    12000)       0.0006    0.0655458  0.004296246         0 0.000716        0
--- smallTheta_l2Eta       BDTG:  (        6,    12000)      -0.7822    0.0547593         6  11999.67        1        1
--- GEta_l1Eta       BDTG:  (        6,    12000)      -0.5299     0.055859  5.655515  10245.16   0.9426   0.8538
--- l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5434    0.0562713  5.595565  9882.525   0.9326   0.8235
